,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,brand,target
93,8,318,150,4237,14,73,USA,Plymouth,14.0
94,8,440,215,4735,11,73,USA,Chrysler,13.0
95,8,455,225,4951,11,73,USA,Buick,12.0
96,8,360,175,3821,11,73,USA,Amc,13.0
97,6,225,105,3121,16,73,USA,Plymouth,18.0
98,6,250,100,3278,18,73,USA,Chevrolet,16.0
99,6,232,100,2945,16,73,USA,Amc,18.0
100,6,250,88,3021,16,73,USA,Ford,18.0
101,6,198,95,2904,16,73,USA,Plymouth,23.0
102,4,97,46,1950,21,73,Europe,Vw,26.0
103,8,400,150,4997,14,73,USA,Chevrolet,11.0
104,8,400,167,4906,12,73,USA,Ford,12.0
105,8,360,170,4654,13,73,USA,Plymouth,13.0
106,8,350,180,4499,12,73,USA,Oldsmobile,12.0
107,6,232,100,2789,15,73,USA,Amc,18.0
108,4,97,88,2279,19,73,Japan,Toyota,20.0
109,4,140,72,2401,19,73,USA,Chevrolet,21.0
110,4,108,94,2379,16,73,Japan,Datsun,22.0
111,3,70,90,2124,13,73,Japan,Mazda,18.0
112,4,122,85,2310,18,73,USA,Ford,19.0
113,6,155,107,2472,14,73,USA,Mercury,21.0
114,4,98,90,2265,15,73,Europe,Fiat,26.0
115,8,350,145,4082,13,73,USA,Chevrolet,15.0
116,8,400,230,4278,9,73,USA,Pontiac,16.0
117,4,68,49,1867,19,73,Europe,Fiat,29.0
118,4,116,75,2158,15,73,Europe,Opel,24.0
119,4,114,91,2582,14,73,Europe,Audi,20.0
120,4,121,112,2868,15,73,Europe,Volvo,19.0
121,8,318,150,3399,11,73,USA,Dodge,15.0
122,4,121,110,2660,14,73,Europe,Saab,24.0
123,6,156,122,2807,13,73,Japan,Toyota,20.0
124,8,350,180,3664,11,73,USA,Oldsmobile,11.0
125,6,198,95,3102,16,74,USA,Plymouth,20.0
126,6,200,83,2875,17,74,USA,Ford,21.0
127,6,232,100,2901,16,74,USA,Amc,19.0
128,6,250,100,3336,17,74,USA,Chevrolet,15.0
129,4,79,67,1950,19,74,Japan,Datsun,31.0
130,4,122,80,2451,16,74,USA,Ford,26.0
131,4,71,65,1836,21,74,Japan,Toyota,32.0
132,4,140,75,2542,17,74,USA,Chevrolet,25.0
133,6,250,100,3781,17,74,USA,Chevrolet,16.0
134,6,258,110,3632,18,74,USA,Amc,16.0
135,6,225,105,3613,16,74,USA,Plymouth,18.0
136,8,302,140,4141,14,74,USA,Ford,16.0
137,8,350,150,4699,14,74,USA,Buick,13.0
138,8,318,150,4457,13,74,USA,Dodge,14.0
139,8,302,140,4638,16,74,USA,Ford,14.0
140,8,304,150,4257,15,74,USA,Amc,14.0
141,4,98,83,2219,16,74,Europe,Audi,29.0
142,4,79,67,1963,15,74,Europe,Vw,26.0
143,4,97,78,2300,14,74,Europe,Opel,26.0
144,4,76,52,1649,16,74,Japan,Toyota,31.0
145,4,83,61,2003,19,74,Japan,Datsun,32.0
146,4,90,75,2125,14,74,USA,Dodge,28.0
147,4,90,75,2108,15,74,Europe,Fiat,24.0
148,4,116,75,2246,14,74,Europe,Fiat,26.0
149,4,120,97,2489,15,74,Japan,Honda,24.0
150,4,108,93,2391,15,74,Japan,Subaru,26.0
151,4,79,67,2000,16,74,Europe,Fiat,31.0
152,6,225,95,3264,16,75,USA,Plymouth,19.0
153,6,250,105,3459,16,75,USA,Chevrolet,18.0
154,6,250,72,3432,21,75,USA,Mercury,15.0
155,6,250,72,3158,19,75,USA,Ford,15.0
156,8,400,170,4668,11,75,USA,Pontiac,16.0
157,8,350,145,4440,14,75,USA,Chevrolet,15.0
158,8,318,150,4498,14,75,USA,Plymouth,16.0
159,8,351,148,4657,13,75,USA,Ford,14.0
160,6,231,110,3907,21,75,USA,Buick,17.0
161,6,250,105,3897,18,75,USA,Chevrolet,16.0
162,6,258,110,3730,19,75,USA,Amc,15.0
163,6,225,95,3785,19,75,USA,Plymouth,18.0
164,6,231,110,3039,15,75,USA,Buick,21.0
165,8,262,110,3221,13,75,USA,Chevrolet,20.0
166,8,302,129,3169,12,75,USA,Ford,13.0
167,4,97,75,2171,16,75,Japan,Toyota,29.0
168,4,140,83,2639,17,75,USA,Ford,23.0
169,6,232,100,2914,16,75,USA,Amc,20.0
170,4,140,78,2592,18,75,USA,Pontiac,23.0
171,4,134,96,2702,13,75,Japan,Toyota,24.0
172,4,90,71,2223,16,75,Europe,Vw,25.0
173,4,119,97,2545,17,75,Japan,Datsun,24.0
174,6,171,97,2984,14,75,USA,Ford,18.0
175,4,90,70,1937,14,75,Europe,Vw,29.0
176,6,232,90,3211,17,75,USA,Amc,19.0
177,4,115,95,2694,15,75,Europe,Audi,23.0
178,4,120,88,2957,17,75,Europe,Peugeot,23.0
179,4,121,98,2945,14,75,Europe,Volvo,22.0
180,4,121,115,2671,13,75,Europe,Saab,25.0
181,4,91,53,1795,17,75,Japan,Honda,33.0
182,4,107,86,2464,15,76,Europe,Fiat,28.0
183,4,116,81,2220,16,76,Europe,Opel,25.0
184,4,140,92,2572,14,76,USA,Ford,25.0
185,4,98,79,2255,17,76,USA,Dodge,26.0
186,4,101,83,2202,15,76,Europe,Renault,27.0
187,8,305,140,4215,13,76,USA,Chevrolet,17.5
188,8,318,150,4190,13,76,USA,Dodge,16.0
189,8,304,120,3962,13,76,USA,Amc,15.5
190,8,351,152,4215,12,76,USA,Ford,14.5
191,6,225,100,3233,15,76,USA,Plymouth,22.0
192,6,250,105,3353,14,76,USA,Chevrolet,22.0
193,6,200,81,3012,17,76,USA,Ford,24.0
194,6,232,90,3085,17,76,USA,Amc,22.5
195,4,85,52,2035,22,76,USA,Chevrolet,29.0
196,4,98,60,2164,22,76,USA,Chevrolet,24.5
197,4,90,70,1937,14,76,Europe,Vw,29.0
198,4,91,53,1795,17,76,Japan,Honda,33.0
199,6,225,100,3651,17,76,USA,Dodge,20.0
200,6,250,78,3574,21,76,USA,Ford,18.0
201,6,250,110,3645,16,76,USA,Pontiac,18.5
202,6,258,95,3193,17,76,USA,Amc,17.5
203,4,97,71,1825,12,76,Europe,Vw,29.5
204,4,85,70,1990,17,76,Japan,Datsun,32.0
205,4,97,75,2155,16,76,Japan,Toyota,28.0
206,4,140,72,2565,13,76,USA,Ford,26.5
207,4,130,102,3150,15,76,Europe,Volvo,20.0
208,8,318,150,3940,13,76,USA,Plymouth,13.0
209,4,120,88,3270,21,76,Europe,Peugeot,19.0
210,6,156,108,2930,15,76,Japan,Toyota,19.0
211,6,168,120,3820,16,76,Europe,Mercedes-benz,16.5
212,8,350,180,4380,12,76,USA,Cadillac,16.5
213,8,350,145,4055,12,76,USA,Chevrolet,13.0
214,8,302,130,3870,15,76,USA,Ford,13.0
215,8,318,150,3755,14,76,USA,Dodge,13.0
216,4,98,68,2045,18,77,Japan,Honda,31.5
217,4,111,80,2155,14,77,USA,Buick,30.0
218,4,79,58,1825,18,77,Europe,Renault,36.0
219,4,122,96,2300,15,77,USA,Plymouth,25.5
220,4,85,70,1945,16,77,Japan,Datsun,33.5
221,8,305,145,3880,12,77,USA,Chevrolet,17.5
222,8,260,110,4060,19,77,USA,Oldsmobile,17.0
223,8,318,145,4140,13,77,USA,Dodge,15.5
224,8,302,130,4295,14,77,USA,Mercury,15.0
225,6,250,110,3520,16,77,USA,Chevrolet,17.5
226,6,231,105,3425,16,77,USA,Buick,20.5
227,6,225,100,3630,17,77,USA,Plymouth,19.0
228,6,250,98,3525,19,77,USA,Ford,18.5
229,8,400,180,4220,11,77,USA,Pontiac,16.0
230,8,350,170,4165,11,77,USA,Chevrolet,15.5
231,8,400,190,4325,12,77,USA,Chrysler,15.5
232,8,351,149,4335,14,77,USA,Ford,16.0
233,4,97,78,1940,14,77,Europe,Vw,29.0
234,4,151,88,2740,16,77,USA,Pontiac,24.5
235,4,97,75,2265,18,77,Japan,Toyota,26.0
236,4,140,89,2755,15,77,USA,Ford,25.5
237,4,98,63,2051,17,77,USA,Chevrolet,30.5
238,4,98,83,2075,15,77,USA,Dodge,33.5
239,4,97,67,1985,16,77,Japan,Subaru,30.0
240,4,97,78,2190,14,77,Europe,Vw,30.5
241,6,146,97,2815,14,77,Japan,Datsun,22.0
242,4,121,110,2600,12,77,Europe,Bmw,21.5
243,3,80,110,2720,13,77,Japan,Mazda,21.5
244,4,90,48,1985,21,78,Europe,Vw,43.1
245,4,98,66,1800,14,78,USA,Ford,36.1
246,4,78,52,1985,19,78,Japan,Mazda,32.8
247,4,85,70,2070,18,78,Japan,Datsun,39.4
248,4,91,60,1800,16,78,Japan,Honda,36.1
249,8,260,110,3365,15,78,USA,Oldsmobile,19.9
250,8,318,140,3735,13,78,USA,Dodge,19.4
251,8,302,139,3570,12,78,USA,Mercury,20.2
252,6,231,105,3535,19,78,USA,Pontiac,19.2
253,6,200,95,3155,18,78,USA,Chevrolet,20.5
254,6,200,85,2965,15,78,USA,Ford,20.2
255,4,140,88,2720,15,78,USA,Ford,25.1
256,6,225,100,3430,17,78,USA,Plymouth,20.5
257,6,232,90,3210,17,78,USA,Amc,19.4
258,6,231,105,3380,15,78,USA,Buick,20.6
259,6,200,85,3070,16,78,USA,Mercury,20.8
260,6,225,110,3620,18,78,USA,Dodge,18.6
261,6,258,120,3410,15,78,USA,Amc,18.1
262,8,305,145,3425,13,78,USA,Chevrolet,19.2
263,6,231,165,3445,13,78,USA,Buick,17.7
264,8,302,139,3205,11,78,USA,Ford,18.1
265,8,318,140,4080,13,78,USA,Dodge,17.5
266,4,98,68,2155,16,78,USA,Chevrolet,30.0
267,4,134,95,2560,14,78,Japan,Toyota,27.5
268,4,119,97,2300,14,78,Japan,Datsun,27.2
269,4,105,75,2230,14,78,USA,Dodge,30.9
270,4,134,95,2515,14,78,Japan,Toyota,21.1
271,4,156,105,2745,16,78,USA,Plymouth,23.2
272,4,151,85,2855,17,78,USA,Oldsmobile,23.8
273,4,119,97,2405,14,78,Japan,Datsun,23.9
274,5,131,103,2830,15,78,Europe,Audi,20.3
275,6,163,125,3140,13,78,Europe,Volvo,17.0
276,4,121,115,2795,15,78,Europe,Saab,21.6
277,6,163,133,3410,15,78,Europe,Peugeot,16.2
278,4,89,71,1990,14,78,Europe,Vw,31.5
279,4,98,68,2135,16,78,Japan,Honda,29.5
280,6,231,115,3245,15,79,USA,Pontiac,21.5
281,6,200,85,2990,18,79,USA,Mercury,19.8
282,4,140,88,2890,17,79,USA,Ford,22.3
283,6,232,90,3265,18,79,USA,Amc,20.2
284,6,225,110,3360,16,79,USA,Dodge,20.6
285,8,305,130,3840,15,79,USA,Chevrolet,17.0
286,8,302,129,3725,13,79,USA,Ford,17.6
287,8,351,138,3955,13,79,USA,Mercury,16.5
288,8,318,135,3830,15,79,USA,Dodge,18.2
289,8,350,155,4360,14,79,USA,Buick,16.9
290,8,351,142,4054,14,79,USA,Ford,15.5
291,8,267,125,3605,15,79,USA,Chevrolet,19.2
292,8,360,150,3940,13,79,USA,Chrysler,18.5
293,4,89,71,1925,14,79,Europe,Vw,31.9
294,4,86,65,1975,15,79,Japan,Mazda,34.1
295,4,98,80,1915,14,79,USA,Dodge,35.7
296,4,121,80,2670,15,79,USA,Amc,27.4
297,5,183,77,3530,20,79,Europe,Mercedes-benz,25.4
298,8,350,125,3900,17,79,USA,Cadillac,23.0
299,4,141,71,3190,24,79,Europe,Peugeot,27.2
300,8,260,90,3420,22,79,USA,Oldsmobile,23.9
301,4,105,70,2200,13,79,USA,Plymouth,34.2
302,4,105,70,2150,14,79,USA,Plymouth,34.5
303,4,85,65,2020,19,79,Japan,Datsun,31.8
304,4,91,69,2130,14,79,Europe,Fiat,37.3
305,4,151,90,2670,16,79,USA,Buick,28.4
306,6,173,115,2595,11,79,USA,Chevrolet,28.8
307,6,173,115,2700,12,79,USA,Oldsmobile,26.8
308,4,151,90,2556,13,79,USA,Pontiac,33.5
309,4,98,76,2144,14,80,Europe,Vw,41.5
310,4,89,60,1968,18,80,Japan,Toyota,38.1
311,4,98,70,2120,15,80,USA,Chevrolet,32.1
312,4,86,65,2019,16,80,Japan,Datsun,37.2
313,4,151,90,2678,16,80,USA,Chevrolet,28.0
314,4,140,88,2870,18,80,USA,Ford,26.4
315,4,151,90,3003,20,80,USA,Amc,24.3
316,6,225,90,3381,18,80,USA,Dodge,19.1
317,4,97,78,2188,15,80,Europe,Audi,34.3
318,4,134,90,2711,15,80,Japan,Toyota,29.8
319,4,120,75,2542,17,80,Japan,Mazda,31.3
320,4,119,92,2434,15,80,Japan,Datsun,37.0
321,4,108,75,2265,15,80,Japan,Toyota,32.2
322,4,86,65,2110,17,80,Japan,Mazda,46.6
323,4,156,105,2800,14,80,USA,Dodge,27.9
324,4,85,65,2110,19,80,Japan,Datsun,40.8
325,4,90,48,2085,21,80,Europe,Vw,44.3
326,4,90,48,2335,23,80,Europe,Vw,43.4
327,5,121,67,2950,19,80,Europe,Audi,36.4
328,4,146,67,3250,21,80,Europe,Mercedes-benz,30.0
329,4,91,67,1850,13,80,Japan,Honda,44.6
330,4,85,89,1835,17,80,Europe,Renault,40.9
331,4,97,67,2145,18,80,Japan,Subaru,33.8
332,4,89,62,1845,15,80,Europe,Vw,29.8
333,6,168,132,2910,11,80,Japan,Datsun,32.7
334,3,70,100,2420,12,80,Japan,Mazda,23.7
335,4,122,88,2500,15,80,Europe,Triumph,35.0
336,4,140,89,2905,14,80,USA,Ford,23.6
337,4,107,72,2290,17,80,Japan,Honda,32.4
338,4,135,84,2490,15,81,USA,Plymouth,27.2
339,4,151,84,2635,16,81,USA,Buick,26.6
340,4,156,92,2620,14,81,USA,Dodge,25.8
341,6,173,110,2725,12,81,USA,Chevrolet,23.5
342,4,135,84,2385,12,81,USA,Plymouth,30.0
343,4,79,58,1755,16,81,Japan,Toyota,39.1
344,4,86,64,1875,16,81,USA,Plymouth,39.0
345,4,81,60,1760,16,81,Japan,Honda,35.1
346,4,97,67,2065,17,81,Japan,Subaru,32.3
347,4,85,65,1975,19,81,Japan,Datsun,37.0
348,4,89,62,2050,17,81,Japan,Toyota,37.7
349,4,91,68,1985,16,81,Japan,Mazda,34.1
350,4,105,63,2215,14,81,USA,Plymouth,34.7
351,4,98,65,2045,16,81,USA,Ford,34.4
352,4,98,65,2380,20,81,USA,Ford,29.9
353,4,105,74,2190,14,81,Europe,Vw,33.0
354,4,100,89,2320,15,81,Europe,Renault,34.5
355,4,107,75,2210,14,81,Japan,Honda,33.7
356,4,108,75,2350,16,81,Japan,Toyota,32.4
357,4,119,100,2615,14,81,Japan,Datsun,32.9
358,4,120,74,2635,18,81,Japan,Mazda,31.6
359,4,141,80,3230,20,81,Europe,Peugeot,28.1
360,6,145,76,3160,19,81,Europe,Volvo,30.7
361,6,168,116,2900,12,81,Japan,Toyota,25.4
362,6,146,120,2930,13,81,Japan,Datsun,24.2
363,6,231,110,3415,15,81,USA,Buick,22.4
364,8,350,105,3725,19,81,USA,Oldsmobile,26.6
365,6,200,88,3060,17,81,USA,Ford,20.2
366,6,225,85,3465,16,81,USA,Chrysler,17.6
367,4,112,88,2605,19,82,USA,Chevrolet,28.0
368,4,112,88,2640,18,82,USA,Chevrolet,27.0
369,4,112,88,2395,18,82,USA,Chevrolet,34.0
370,4,112,85,2575,16,82,USA,Pontiac,31.0
371,4,135,84,2525,16,82,USA,Dodge,29.0
372,4,151,90,2735,18,82,USA,Pontiac,27.0
373,4,140,92,2865,16,82,USA,Ford,24.0
374,4,151,89,3035,20,82,USA,Amc,23.0
375,4,105,74,1980,15,82,Europe,Vw,36.0
376,4,91,68,2025,18,82,Japan,Mazda,37.0
377,4,91,68,1970,17,82,Japan,Mazda,31.0
378,4,105,63,2125,14,82,USA,Plymouth,38.0
379,4,98,70,2125,17,82,USA,Mercury,36.0
380,4,120,88,2160,14,82,Japan,Datsun,36.0
381,4,107,75,2205,14,82,Japan,Honda,36.0
382,4,108,70,2245,16,82,Japan,Toyota,34.0
383,4,91,67,1965,15,82,Japan,Honda,38.0
384,4,91,67,1965,15,82,Japan,Honda,32.0
385,4,91,67,1995,16,82,Japan,Datsun,38.0
386,6,181,110,2945,16,82,USA,Buick,25.0
387,6,262,85,3015,17,82,USA,Oldsmobile,38.0
388,4,156,92,2585,14,82,USA,Chrysler,26.0
389,6,232,112,2835,14,82,USA,Ford,22.0
390,4,144,96,2665,13,82,Japan,Toyota,32.0
391,4,135,84,2370,13,82,USA,Dodge,36.0
392,4,151,90,2950,17,82,USA,Chevrolet,27.0
393,4,140,86,2790,15,82,USA,Ford,27.0
394,4,97,52,2130,24,82,Europe,Vw,44.0
395,4,135,84,2295,11,82,USA,Dodge,32.0
396,4,120,79,2625,18,82,USA,Ford,28.0
397,4,119,82,2720,19,82,USA,Chevrolet,31.0
